name	count	percent_male	percent_female
rauri	18	0.2777777777777778	0.7222222222222222
rangler	5	1	0
ramis	20	1	0
ramin	588	1	0
ramier	41	1	0
ramere	65	1	0
ramelo	70	1	0
rameer	16	1	0
ralf	293	1	0
rakshan	25	1	0
rakhi	59	0.0847457627118644	0.9152542372881356
rakari	5	1	0
rainn	134	0.417910447761194	0.582089552238806
raidel	17	1	0
raidan	31	1	0
raeshawn	429	0.710955710955711	0.289044289044289
radlee	21	1	0
racyn	17	1	0
racin	10	1	0
raanan	21	1	0
raahi	49	0.10204081632653061	0.8979591836734694
quirino	222	1	0
quindell	161	1	0
quincee	219	0.045662100456621	0.954337899543379
quince	538	1	0
quayden	5	1	0
qays	27	1	0
qaiden	10	1	0
pruitt	47	1	0
priyam	20	1	0
prinz	5	1	0
princejames	5	1	0
princedavid	5	1	0
princecharles	10	1	0
princeanthony	5	1	0
priam	5	1	0
precious	18663	0.006912072014145636	0.9930879279858543
precieux	5	1	0
praxton	16	1	0
pratyush	123	1	0
prateek	215	1	0
pragyan	17	1	0
pradyumna	17	1	0
prabhjot	145	0.8413793103448276	0.15862068965517243
prabal	5	1	0
portland	111	0.1891891891891892	0.8108108108108109
pol	10	1	0
placido	1099	1	0
pio	237	1	0
pinches	22	1	0
pier	468	0.2222222222222222	0.7777777777777778
phillips	1305	1	0
phillippe	217	1	0
philbert	797	1	0
peyten	564	0.22163120567375885	0.7783687943262412
petro	165	1	0
petie	21	1	0
peterjames	5	1	0
pernell	3237	0.9150447945628668	0.08495520543713314
pavly	10	1	0
patryck	74	1	0
parshva	5	1	0
paeton	482	0.17842323651452283	0.8215767634854771
pacer	78	1	0
oved	60	1	0
osvin	41	1	0
oshae	151	1	0
osbourne	23	1	0
ora	44468	0.1255059818296303	0.8744940181703698
onni	37	1	0
ondre	255	1	0
omare	82	1	0
olyn	66	1	0
oluwapelumi	31	0.6451612903225806	0.3548387096774194
oluwafikayo	5	1	0
olman	90	1	0
ollis	409	1	0
oliverjames	5	1	0
oliber	5	1	0
oleksiy	10	1	0
ohene	16	1	0
ogheneruno	10	1	0
odie	4122	0.6145075206210577	0.38549247937894227
obryan	279	1	0
obediah	182	1	0
nyzere	17	1	0
nyel	63	0.746031746031746	0.25396825396825395
nyaire	150	0.64	0.36
nyair	72	1	0
nunzio	1761	1	0
nowah	10	1	0
nouman	26	1	0
nouh	33	1	0
noriel	59	0.9152542372881356	0.0847457627118644
nore	31	0.8387096774193549	0.16129032258064516
nollan	55	1	0
noelan	24	1	0
noan	31	1	0
noal	425	1	0
noahh	16	1	0
noahanthony	5	1	0
nix	10	0.5	0.5
nived	28	1	0
nitai	24	1	0
nio	18	1	0
nil	112	0.8125	0.1875
nikoloz	57	1	0
nikkolai	10	1	0
nikholas	143	1	0
nihaan	5	1	0
nidish	5	1	0
nicolaas	382	1	0
nickai	12	1	0
nic	77	1	0
nial	96	1	0
